episode,global_step,step,action_id,action_type,difficulty,modality,reward,correct,mastery_gain,mastery_mean
0,128,128,78,question,0,,1.0160108028624453,True,0.032021605724890656,0.4178492138126976
0,129,129,30,question,0,,1.015993326999835,True,0.03198665399966965,0.41891543561268657
0,130,130,0,question,0,,1.0159835804675603,True,0.03196716093512051,0.41998100764385726
0,131,131,21,question,0,,1.015978231619558,True,0.03195646323911612,0.42104622308516115
0,132,132,75,question,0,,1.0159265301409985,True,0.03185306028199702,0.4221079917612277
0,133,133,39,question,0,,1.0158262346362708,True,0.031652469272541436,0.4231630740703124
0,134,134,87,question,0,,1.0157671257550727,True,0.0315342515101454,0.4242142157873173
0,135,135,36,question,0,,1.015732664866192,True,0.03146532973238402,0.42526306011173004
0,136,136,12,question,0,,1.0156865359282061,True,0.03137307185641208,0.42630882917361046
0,137,137,48,question,0,,1.0156235387646009,True,0.031247077529201805,0.42735039842458383
0,138,138,15,question,0,,1.015575049551873,True,0.03115009910374582,0.42838873506137537
0,139,139,33,question,0,,1.0155652915418818,True,0.03113058308376382,0.4294264211641675
0,140,140,6,question,0,,1.015538656049077,True,0.031077312098153755,0.4304623315674393
1,141,1,66,question,0,,-0.03,False,0.0,0.28485887689376027
1,142,2,66,question,0,,-0.06,False,0.0,0.28485887689376027
1,143,3,66,question,0,,-0.09000000000000001,False,0.0,0.28485887689376027
1,144,4,66,question,0,,-0.12,False,0.0,0.28485887689376027
1,145,5,66,question,0,,-0.15,False,0.0,0.28485887689376027
1,146,6,66,question,0,,0.888775794458257,True,0.04755158891651429,0.2864439298576441
1,147,7,66,question,0,,-0.165,False,0.0,0.2864439298576441
1,148,8,66,question,0,,0.8725870047353442,True,0.04517400947068857,0.2879497301733337
1,149,9,87,question,0,,0.887293002484125,True,0.04458600496825008,0.28943593033894205
1,150,10,36,question,0,,-0.165,False,0.0,0.28943593033894205
1,151,11,36,question,0,,0.8718109838554283,True,0.043621967710856656,0.2908899959293039
1,152,12,66,question,0,,-0.18,False,0.0,0.2908899959293039
1,153,13,66,question,0,,0.8564576544985771,True,0.04291530899715415,0.2923205062292091
1,154,14,60,question,0,,0.8712830566069514,True,0.042566113213902794,0.2937393766696725
1,155,15,87,question,0,,-0.18,False,0.0,0.2937393766696725
1,156,16,87,question,0,,-0.21,False,0.0,0.2937393766696725
1,157,17,266,content,,2,0.08237875380356564,,0.04618937690178282,0.2952790225663986
1,158,18,197,content,,5,0.07855005268875168,,0.051775026344375835,0.2970048567778778
1,159,19,143,content,,5,0.028036255456511193,,0.026518127728255597,0.29788879436881965
1,160,20,221,content,,5,-0.003506002691503231,,0.010746998654248385,0.2982470276572946
1,161,21,167,content,,5,0.1474604865251831,,0.08623024326259154,0.301121369099381
1,162,22,218,content,,2,0.05003112532073057,,0.030015562660365286,0.3021218878547265
1,163,23,227,content,,5,0.04943255463278436,,0.03721627731639218,0.30336243043193956
2,164,1,75,question,0,,1.0241462169397497,True,0.048292433879499615,0.29587520190782274
2,165,2,75,question,0,,1.0229389060927623,True,0.045877812185524634,0.2974044623140069
2,166,3,24,question,0,,1.0224069549145665,True,0.04481390982913272,0.2988982593083113
2,167,4,45,question,0,,1.022372754570018,True,0.04474550914003625,0.30038977627964586
2,168,5,6,question,0,,1.0221892707067202,True,0.0443785414134403,0.3018690609934272
2,169,6,42,question,0,,-0.03,False,0.0,0.3018690609934272
2,170,7,42,question,0,,-0.06,False,0.0,0.3018690609934272
2,171,8,42,question,0,,0.9771133257322974,True,0.04422665146459474,0.3033432827089137
2,172,9,75,question,0,,0.9917919607881243,True,0.0435839215762484,0.30479608009478865
2,173,10,24,question,0,,-0.06,False,0.0,0.30479608009478865
2,174,11,24,question,0,,-0.09000000000000001,False,0.0,0.30479608009478865
2,175,12,24,question,0,,0.9462866071688381,True,0.04257321433767608,0.30621518723937785
2,176,13,45,question,0,,0.9612541168415172,True,0.04250823368303444,0.30763212836214565
2,177,14,6,question,0,,0.9760798071713842,True,0.0421596143427683,0.3090374488402379
2,178,15,84,question,0,,-0.07500000000000002,False,0.0,0.3090374488402379
2,179,16,84,question,0,,0.9610464951288338,True,0.04209299025766749,0.3104405485154935
2,180,17,42,question,0,,0.9760076594456825,True,0.042015318891365006,0.3118410591452057
2,181,18,48,question,0,,0.9907224631011868,True,0.04144492620237377,0.3132225566852848
2,182,19,75,question,0,,-0.06000000000000003,False,0.0,0.3132225566852848
2,183,20,75,question,0,,0.9757023627487179,True,0.041404725497435985,0.31460271420186603
2,184,21,24,question,0,,0.9902222768103961,True,0.04044455362079228,0.3159508659892257
2,185,22,45,question,0,,-0.06000000000000003,False,0.0,0.3159508659892257
2,186,23,45,question,0,,0.9751914109994414,True,0.04038282199888271,0.31729696005585517
2,187,24,0,question,0,,-0.07500000000000002,False,0.0,0.31729696005585517
2,188,25,0,question,0,,-0.10500000000000002,False,0.0,0.31729696005585517
2,189,26,0,question,0,,0.9300972322484611,True,0.04019446449692234,0.3186367755390859
2,190,27,6,question,0,,-0.12000000000000004,False,0.0,0.3186367755390859
2,191,28,6,question,0,,0.9150258168128149,True,0.04005163362562988,0.31997182999327356
2,192,29,84,question,0,,0.929994170372392,True,0.039988340744784114,0.32130477468476637
2,193,30,42,question,0,,0.9449572764733983,True,0.03991455294679676,0.32263525978299296
2,194,31,63,question,0,,0.9597088724232099,True,0.039417744846419876,0.3239491846112069
2,195,32,48,question,0,,0.9746863399461275,True,0.039372679892255076,0.3252616072742821
2,196,33,75,question,0,,0.989667244611282,True,0.03933448922256418,0.32657275691503423
2,197,34,24,question,0,,1.0042111629698762,True,0.03842232593975267,0.327853501113026
2,198,35,45,question,0,,1.0191818404494692,True,0.03836368089893858,0.329132290476324
2,199,36,0,question,0,,-0.030000000000000054,False,0.0,0.329132290476324
2,200,37,0,question,0,,1.004092370636038,True,0.038184741272076224,0.3304051151853932
2,201,38,6,question,0,,-0.045000000000000054,False,0.0,0.3304051151853932
2,202,39,6,question,0,,0.9890245259721742,True,0.03804905194434838,0.33167341691687147
2,203,40,84,question,0,,1.0039944618537724,True,0.037988923707544905,0.3329397143737896
2,204,41,42,question,0,,-0.045000000000000054,False,0.0,0.3329397143737896
2,205,42,42,question,0,,0.9889594126497285,True,0.03791882529945692,0.33420367521710487
2,206,43,12,question,0,,-0.06000000000000005,False,0.0,0.33420367521710487
2,207,44,12,question,0,,0.9737607623547712,True,0.037521524709542425,0.33545439270742294
2,208,45,63,question,0,,0.9887234288020494,True,0.037446857604098875,0.33670262129422623
2,209,46,48,question,0,,1.003702022948821,True,0.037404045897642325,0.33794942282414764
2,210,47,21,question,0,,1.0187019392270402,True,0.03740387845408029,0.33919621877261696
2,211,48,75,question,0,,1.018683882380718,True,0.037367764761435975,0.3404418109313315
2,212,49,87,question,0,,1.0185671394145601,True,0.03713427882912023,0.3416796202256355
2,213,50,51,question,0,,1.0184831801501046,True,0.03696636030020938,0.3429118322356425
2,214,51,24,question,0,,1.0182506048213824,True,0.036501209642765035,0.34412853922373465
2,215,52,45,question,0,,1.018222748426996,True,0.03644549685399165,0.3453433891188677
2,216,53,30,question,0,,1.0181486210691617,True,0.03629724213832352,0.34655329719014516
2,217,54,0,question,0,,1.0181377521042363,True,0.03627550420847241,0.3477624806637609
2,218,55,6,question,0,,1.0180732996735655,True,0.03614659934713096,0.3489673673086653
2,219,56,84,question,0,,1.0180447387610838,True,0.03608947752216766,0.35017034989273754
2,220,57,42,question,0,,1.0180114420172421,True,0.03602288403448407,0.351371112693887
2,221,58,39,question,0,,-0.03,False,0.0,0.351371112693887
2,222,59,39,question,0,,1.0028808943623941,True,0.03576178872478809,0.3525631723180466
2,223,60,12,question,0,,1.0178227242370326,True,0.035645448474065304,0.35375135393384877
2,224,61,63,question,0,,-0.03,False,0.0,0.35375135393384877
2,225,62,63,question,0,,-0.06,False,0.0,0.35375135393384877
2,226,63,63,question,0,,0.9727872573619468,True,0.03557451472389394,0.3549371710913119
2,227,64,48,question,0,,0.98776692180138,True,0.035533843602760205,0.3561216325447373
2,228,65,21,question,0,,1.0027668422656881,True,0.03553368453137628,0.3573060886957831
2,229,66,75,question,0,,1.017749688261682,True,0.03549937652336417,0.3584894012465619
2,230,67,87,question,0,,-0.030000000000000006,False,0.0,0.3584894012465619
2,231,68,87,question,0,,1.0026387824438323,True,0.03527756488766422,0.35966532007615076
2,232,69,78,question,0,,1.01759650588496,True,0.035193011769919985,0.3608384204684814
2,233,70,51,question,0,,-0.030000000000000006,False,0.0,0.3608384204684814
2,234,71,51,question,0,,-0.06,False,0.0,0.3608384204684814
2,235,72,51,question,0,,0.9725590211425995,True,0.035118042285198915,0.36200902187798806
2,236,73,24,question,0,,0.9873380745803133,True,0.03467614916062678,0.3631648935166756
2,237,74,45,question,0,,1.002311611005646,True,0.03462322201129207,0.364319000917052
2,238,75,30,question,0,,1.0172411900157037,True,0.03448238003140734,0.36546841358476556
2,239,76,0,question,0,,1.0172308644990244,True,0.03446172899804879,0.3666171378847005
2,240,77,6,question,0,,1.0171696346898873,True,0.03433926937977442,0.36776178019735967
2,241,78,84,question,0,,1.0171425018230296,True,0.03428500364605928,0.3689046136522283
2,242,79,42,question,0,,1.01711086991638,True,0.03422173983275987,0.3700453383133203
2,243,80,9,question,0,,-0.03,False,0.0,0.3700453383133203
2,244,81,9,question,0,,1.0020924204448853,True,0.034184840889770605,0.371184833009646
2,245,82,39,question,0,,1.0169868496442744,True,0.03397369928854869,0.37231728965259764
2,246,83,12,question,0,,1.016931588025181,True,0.033863176050362036,0.37344606218760973
2,247,84,63,question,0,,-0.03,False,0.0,0.37344606218760973
2,248,85,63,question,0,,1.0018978944938497,True,0.03379578898769924,0.37457258848719965
2,249,86,48,question,0,,1.016878575711311,True,0.03375715142262219,0.3756978268679538
2,250,87,21,question,0,,1.0168785001524037,True,0.03375700030480746,0.37682306021144735
2,251,88,75,question,0,,1.016862203848598,True,0.033724407697195966,0.3779472071346872
2,252,89,87,question,0,,-0.03,False,0.0,0.3779472071346872
2,253,90,87,question,0,,-0.06,False,0.0,0.3779472071346872
2,254,91,87,question,0,,0.9717568433216405,True,0.033513686643281006,0.37906433002279655
2,255,92,78,question,0,,0.9867166805907119,True,0.03343336118142399,0.3801787753955107
2,256,93,51,question,0,,1.0016810700854695,True,0.03336214017093896,0.381290846734542
2,257,94,27,question,0,,1.0166744552594138,True,0.03334891051882754,0.3824024770851696
2,258,95,72,question,0,,1.0166488280116939,True,0.033297656023387565,0.38351239895261585
2,259,96,69,question,0,,1.0166360970914814,True,0.0332721941829627,0.38462147209204794
2,260,97,18,question,0,,1.0165909254683356,True,0.033181850936671475,0.38572753378993696
2,261,98,24,question,0,,-0.03,False,0.0,0.38572753378993696
2,262,99,24,question,0,,-0.06,False,0.0,0.38572753378993696
2,263,100,24,question,0,,-0.09000000000000001,False,0.0,0.38572753378993696
2,264,101,24,question,0,,0.9414711708512977,True,0.03294234170259544,0.3868256118466902
2,265,102,66,question,0,,-0.10500000000000002,False,0.0,0.3868256118466902
2,266,103,66,question,0,,-0.135,False,0.0,0.3868256118466902
2,267,104,66,question,0,,0.8964462295737058,True,0.032892459147411526,0.3879220271516039
2,268,105,45,question,0,,0.9114460304553638,True,0.03289206091072746,0.38901842918196144
2,269,106,81,question,0,,0.9264424164587144,True,0.03288483291742899,0.3901145902792091
2,270,107,30,question,0,,0.9413791305149185,True,0.03275826102983697,0.39120653231353697
2,271,108,0,question,0,,0.9563693212740731,True,0.032738642548146346,0.3922978203984752
2,272,109,54,question,0,,0.9713493386077804,True,0.03269867721556099,0.3933877763056606
2,273,110,6,question,0,,0.9863111529553927,True,0.032622305910785694,0.39447518650268676
2,274,111,84,question,0,,1.0012853767318781,True,0.03257075346375631,0.39556087828481196
2,275,112,42,question,0,,1.016255326420561,True,0.032510652841121875,0.39664456671284937
2,276,113,9,question,0,,1.016237799422641,True,0.032475598845282075,0.39772708667435874
2,277,114,36,question,0,,1.016228979067683,True,0.0324579581353661,0.3988090186122043
2,278,115,39,question,0,,1.0161375071620606,True,0.03227501432412125,0.39988485242300836
2,279,116,12,question,0,,1.016085008623922,True,0.03217001724784393,0.4009571863312698
2,280,117,63,question,0,,-0.03,False,0.0,0.4009571863312698
2,281,118,63,question,0,,1.0010529997691573,True,0.03210599953831427,0.4020273863158803
2,282,119,48,question,0,,1.0160346469257455,True,0.03206929385149109,0.40309636277759664
2,283,120,21,question,0,,1.0160345751447835,True,0.03206915028956708,0.40416533445391556
2,284,121,75,question,0,,1.0160190936561682,True,0.03203818731233617,0.4052332740309934
2,285,122,87,question,0,,1.0159190011555586,True,0.031838002311116956,0.40629454077469734
2,286,123,78,question,0,,1.0158808465611764,True,0.03176169312235279,0.40735326387877574
2,287,124,51,question,0,,1.015847016581196,True,0.03169403316239202,0.4084097316508555
2,288,125,27,question,0,,1.0158407324964431,True,0.03168146499288616,0.4094657804839517
2,289,126,72,question,0,,1.0158163866111092,True,0.031632773222218184,0.41052020625802566
2,290,127,69,question,0,,1.0158042922369073,True,0.03160858447381456,0.4115738257404861
2,291,128,18,question,0,,1.015761379194919,True,0.0315227583898379,0.4126245843534807
2,292,129,24,question,0,,1.0156476123087328,True,0.031295224617465665,0.41366775850739623
